bins	THOC_M06	THOC_M07	THOC_M08	THOC_M09	THOC_M10
M_oryzihabitans	0.0424078923100585	0.04910197754481178	0.047057072273847866	0.057378602795379284	0.05761680546133459
M_oxalidis	0.038299422170208965	0.04717358497863083	0.050761828554735135	0.05934289740161176	0.05470117760167636
M_persicinum	0.019093080117181267	0.023028209665918047	0.03455758532073753	0.06427858835384524	0.04686833383572124
M_phyllostachyos	0.041044407640440324	0.05565127847733833	0.08451040939670287	0.10926666229983943	0.08220485761871148
M_planeticum	0.04049904096043515	0.05106311280245487	0.057023284153126366	0.0647264056694811	0.05964375126581309
M_platani	0.026975650245092107	0.03165567797901163	0.031298468512462464	0.04014285531236964	0.03813655965568937
M_podarium	0.035485326172371365	0.04424722827490713	0.042086751509701766	0.05170918409220449	0.04762067378725294
M_pseudosasicola	0.04428440222360615	0.10502336136287838	0.14310436232164161	0.23263207610152226	0.1806727470634132
M_radiodurans	0.03798241599943679	0.0458981947562095	0.05102555285083384	0.05719213783430315	0.057366154634867085
M_radiotolerans	0.04506914660006871	0.0701818060590424	0.09100420199127134	0.13408222219967503	0.09751228781683434
M_rhodesianum	0.025100538072019403	0.02961939177048556	0.027988875759818205	0.03648915341449286	0.03512631074444608
M_rhodinum	0.03951107406622279	0.046278302066535035	0.04649232138635685	0.05759413427982776	0.05477155796076029
M_salsuginis	0.03192622976223817	0.039151556612199656	0.03920809546162092	0.04632823375451959	0.04704539430963717
M_segetis	0.03108720046676736	0.03924112337923523	0.04031688747260446	0.04925860566503425	0.04600659964347742
M_soli	0.030278070048111165	0.03503834528278189	0.03970701601724992	0.04599929754841388	0.04136898337807012
M_sp_001	0.024022859455599378	0.03382432776894593	0.03292886288412856	0.04177104352208405	0.04001183056605756
M_sp_002	0.03165115583911657	0.041796703187784674	0.04180396514808609	0.059591253695012975	0.054941832679331656
M_sp_003	0.025210915142155628	0.0398248075042056	0.03850024770846981	0.0616968302389434	0.0714616251490334
M_sp_004	0.041434034355920066	0.04015709499680267	0.039558044399424404	0.053896635999417075	0.08166857391316812
M_sp_005	0.02898006663042137	0.04048469394430476	0.042525756335395265	0.06953219212314973	0.04982607692711817
M_sp_006	0.028531069468176327	0.0330214807443153	0.035109821244155695	0.0736223641962559	0.0468064448491904
M_sp_007	0.023141747618252426	0.026471567406354802	0.027289503717940672	0.03869530117393538	0.039219461140579746
M_sp_008	0.031094526866197056	0.031360046159200496	0.03887649976444903	0.09614075998854012	0.05335439373494342
M_sp_009	0.01912556443617466	0.024444914318471216	0.023878998040625307	0.037931990433364815	0.03206664693195754
M_sp_010	0.03693610718640099	0.03312748778938318	0.0423146106320764	0.3870365724296083	0.1441060023856369
M_sp_011	0.051454639545426756	0.036630335479393435	0.03564699966332373	0.05731117067764926	0.10492201768110127
M_sp_012	0.016343828338722336	0.020521157601703605	0.019434325431471368	0.02564141161736282	0.025880053067114647
M_sp_013	0.0203796090724952	0.02422573241296758	0.024548350606447177	0.028445063909485126	0.031643592856268554
M_sp_014	0.02543704282048624	0.038818208978230004	0.038299554949211605	0.047192127094130766	0.04981396183590232
M_sp_015	0.015213938371034947	0.027649792886748525	0.02364510473856495	0.03316824809852106	0.03285812073351021
M_sp_016	0.012942600511323786	0.01521584198737528	0.01791858036003831	0.020717663295549672	0.020280624750182885
M_sp_017	0.034080235725033534	0.04135711525835828	0.04094806985768451	0.04984362932543634	0.05227636121468758
M_sp_018	0.4945948681131282	0.8673919526368117	0.7250316772599067	0.935403555438755	0.921348001550923
M_sp_019	0.048074352989016744	0.06449957576255215	0.09724710951582191	0.13046071795834263	0.10165323573917022
M_sp_020	0.05005478962338934	0.0817752316229087	0.11425295409627909	0.15073139514168782	0.12448393734434426
M_sp_021	0.3744379940844894	0.8790759877368742	0.9207258203323891	0.9505463601317342	0.9617041625346674
M_sp_022	0.5353436650102552	0.5316832819573756	0.5486326682783605	0.5841159867870221	0.6536525916848616
M_sp_023	0.5263917609741309	0.5197921968580219	0.38874079008808615	0.5971710023212985	0.675415094672866
M_sp_024	0.18156531455136773	0.32753949599952115	0.4240103753067699	0.8200442945789023	0.571368303437818
M_sp_025	0.5972678315849659	0.4498474869873793	0.5312857658757828	0.3580855029602275	0.5430944041339943
M_sp_026	0.4077184640334749	0.746751501643888	0.4702628654375288	0.7914139718851564	0.3647063457866898
M_sp_027	0.11831876450880076	0.16474755531076501	0.19081151570496924	0.26385693075505223	0.2604586293088104
M_sp_028	0.04095130106867188	0.06317536620343048	0.08861666020836138	0.12634591422883892	0.09223175377883862
M_sp_029	0.2666172562472495	0.7057496450636292	0.8247444284751765	0.7435107741299065	0.441775886458957
M_sp_030	0.08889584658726507	0.17111412993533962	0.1637023539627657	0.8129358481221147	0.4532807572096821
M_sp_031	0.029292924526818098	0.052166712278350805	0.07201141235793533	0.10134145535874375	0.07072657840019377
M_sp_032	0.037865825823929736	0.07160875429282457	0.08583528532385344	0.12232909739033576	0.09880236990862118
M_sp_033	0.03484825090996109	0.05901307586571683	0.0652300006724452	0.13557584411593557	0.10685247942561911
M_sp_034	0.04282016485051583	0.06444381251022795	0.17197759682486272	0.1786024306387258	0.1353066543822743
M_sp_035	0.030417906537597104	0.03510721015814711	0.034284761627554	0.04324560483934728	0.04198333277696535
M_sp_036	0.023964013634811984	0.029436658385079018	0.029266356135608435	0.039156607062777925	0.03700381196049595
M_sp_037	0.019511128487847543	0.022463865930713655	0.024200456592957345	0.029337219314316106	0.027996386685022582
M_sp_038	0.03462392236742071	0.03933251330454865	0.03996492763186206	0.05291911121311663	0.049432673963249324
M_sp_039	0.017188631395440617	0.020041249283628288	0.019115199434452418	0.023896787566189313	0.02398189424122938
M_sp_040	0.024504724419855243	0.02950882678722662	0.030853838919303916	0.0422884959045979	0.036618763446102896
M_sp_041	0.030397005320603143	0.03370444364997582	0.0326879350591996	0.04074984753212341	0.038862694790856134
M_sp_042	0.021055972414887516	0.0245401528666018	0.02351579735862327	0.02981443390472835	0.031031772234546076
M_sp_043	0.026250641375126612	0.028367847989089326	0.028051764876349295	0.0330740932136436	0.03618173433948029
