bins	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
M_sp_040	0.022201004928198747	0.013334033432597408	0.0092154137568791	0.016968834509750133	0.02476744024063412
M_sp_041	0.023538011818889194	0.017009610733738512	0.011072574709259531	0.019074425353830624	0.029159092342958087
M_sp_042	0.016405153649964126	0.01531732225912281	0.008758595972643508	0.014216849484830004	0.01961068573453498
M_sp_043	0.02003963877875145	0.01832533114214982	0.011386634300245026	0.017629734311356844	0.023321828702822723
M_sp_044	0.02581134221486941	0.02387132004872674	0.015622025261647726	0.023348380029791813	0.029354047582888773
M_sp_045	0.01582149668130697	0.014959270735386826	0.00852125547165368	0.013820009048164002	0.018889855415297148
M_suomiense	0.017030953885028427	0.01071473693709954	0.006586228679722046	0.013602021478205937	0.01978702283187438
M_symbioticum	0.024001767259607707	0.016677114399300332	0.009756773165551137	0.018532704089781527	0.029222617962193737
M_tardum	0.033408017708716375	0.018347307830937097	0.01390469186323803	0.027140355412190034	0.04512897435804083
M_tarhaniae	0.016818124580887443	0.014672780413036365	0.008801589630289253	0.01375909244546039	0.018212756445672468
M_terrae	0.02493403055997191	0.022031732185005863	0.01387086378669616	0.02240916403227026	0.02841432215933855
M_terricola	0.01767166250724126	0.015152891112894074	0.009381601042411406	0.015624104963583806	0.020326209536733277
M_thiocyanatum	0.02571004909046799	0.015918797701554643	0.011033173721921896	0.02077142457074264	0.02959755322151815
M_thuringiense	0.06810986758928207	0.03603336267485964	0.015689149186367407	0.034741032708438126	0.0749457918133743
M_trifolii	0.06593552810477264	0.031126553790493457	0.01971517553135858	0.040139991245705164	0.07512579456846362
M_variabile	0.020310319078448193	0.018169170160011135	0.010613957652073682	0.017865125920891404	0.024033426836725647
M_zatmanii	0.021555931758130246	0.012590463335454376	0.008932871629004512	0.017396465157402972	0.023908494435110103
