bins	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
M_sp_001	0.13988360123987445	0.10109315987025294	0.05135243995695853	0.1108300270663115	0.1526740387178624
M_sp_002	0.12428746921272303	0.0665968864247073	0.041011233860047895	0.09357212490650225	0.12938143996036933
M_sp_003	0.135101106794108	0.06535111995078495	0.03560396406140266	0.08220945066790551	0.11620122275433671
M_sp_004	0.14425253854907516	0.061663787879149855	0.04116347611004534	0.08331959638045228	0.1171385807696994
M_sp_005	0.1129349611644603	0.06425844117181136	0.04119846191657369	0.08330855811019362	0.10750984148352627
M_sp_006	0.10336336850867804	0.08008825913338466	0.03536096193927559	0.06794861864793987	0.10991004312422155
M_sp_007	0.06588269580746481	0.041309293734863126	0.024008398472192823	0.04969436411035865	0.07393931529477084
M_sp_008	0.11084581380564468	0.0643144068091214	0.03179738380584046	0.07031746038088532	0.1210614138732532
M_sp_009	0.0857194946034968	0.056303501031373486	0.030103325298487475	0.062344013569961894	0.08856636735691162
M_sp_010	0.23713667087747714	0.09561345786768666	0.03782650287054032	0.09931717379790164	0.12289386116649721
M_sp_011	0.10518679505714455	0.06626516657725945	0.0390942719397117	0.0774413550401988	0.1383020494199438
M_sp_012	0.06572334049859806	0.033379496103260096	0.022346594090764033	0.04556124896384652	0.05051391205390206
M_sp_013	0.07680285155897472	0.04777042960953338	0.03365711623922793	0.05443908700551795	0.07129090364605718
M_sp_014	0.13637510956498994	0.0534941238672296	0.028793293104560257	0.0733846046884384	0.09561684348271779
M_sp_015	0.06792484552096657	0.033128639440489785	0.016341099650116497	0.04329900512742506	0.05410879782034397
M_sp_016	0.04142024329358884	0.026201007564273703	0.01460214031991674	0.028840207546173745	0.03857195109994947
M_sp_017	0.13811665894050285	0.08390928032691321	0.053390409714054156	0.10718649912334592	0.14224278942486376
M_sp_018	7.580746229781424	3.667589646780352	0.8928216605768794	7.584802033528193	9.304977100158741
M_sp_019	0.11142625892951402	0.0714902268986092	0.03551676813175212	0.07667679362509922	0.14371413043053258
M_sp_020	0.22694128034950578	0.07884803695923269	0.048793851127655934	0.12350247674205894	0.1859681771824085
M_sp_021	5.1895043257261335	0.44281637071109275	0.553158431835155	1.9668397245189777	2.9631917542938586
M_sp_022	0.7580444438022336	1.9934153498652643	0.3333595508625266	1.3050267213545717	3.775757860373759
M_sp_023	0.7690654682657347	0.6573875546697685	0.3271661693845793	0.5277089588283712	1.8021497007622493
M_sp_024	0.6077739779325206	0.4047306610267563	0.15914874598455675	1.360098485604262	3.0461254214968374
M_sp_025	0.3260805462337689	0.1406973773702133	0.11225660284029336	0.340411957202968	0.9867742566088377
M_sp_026	0.4440321395062267	0.4856469871076041	0.11930914875388614	0.5630372560384769	2.9288950915450296
M_sp_027	0.5973733857007733	0.3304425568133886	0.19929517292581783	0.5808578794580124	1.080578641254393
M_sp_028	0.1025614894419119	0.06073240394086081	0.03332237319504481	0.08410261142328687	0.1170862521028427
M_sp_029	0.8015823897888081	0.3035479766780006	0.22774861413874728	1.3283714356918015	1.146738844474624
M_sp_030	1.469374429469629	0.15636248376074274	0.13640266715592686	0.5465468946541768	0.9771955524185006
M_sp_031	0.0779528847030994	0.04152063063658183	0.022366082522546328	0.05746616084881771	0.08382216476198565
M_sp_032	0.17216931080265116	0.05029606318948475	0.036263894130603276	0.1198958258095798	0.15842111112227217
M_sp_033	0.1278092900368793	0.06697704332237511	0.043133038584454046	0.10196804795924155	0.13711664519725747
M_sp_034	0.20940219747032987	0.10657892064187995	0.06111721540827656	0.7454896440502776	0.6538947821864558
M_sp_035	0.09250896386907276	0.04569381918118641	0.028941676822822567	0.061266851849357415	0.09278207222281112
M_sp_036	0.06327250676177772	0.03575549837045239	0.021515610280104482	0.04979831429251661	0.06847251602682763
M_sp_037	0.04782474686749793	0.023001228836048406	0.01553295108599903	0.03558806296672139	0.0532265129928907
M_sp_038	0.13023808328432288	0.07620368510894668	0.04891501585070217	0.09105582889848378	0.12050568043263093
M_sp_039	0.04283559655317966	0.02178593612194963	0.01548461044821705	0.031623821632881376	0.044386219582085044
M_sp_040	0.06774889153926468	0.03745745378898365	0.023625135420986477	0.05033177918440579	0.06548035560756293
