gene_cluster_id;focal;reference;type;genome_occurences;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;COG20_CATEGORY_ACC;COG20_CATEGORY;COG20_PATHWAY_ACC;COG20_PATHWAY;COG20_FUNCTION_ACC;COG20_FUNCTION;KEGG_BRITE_ACC;KEGG_BRITE;KEGG_Class_ACC;KEGG_Class;KEGG_Module_ACC;KEGG_Module;KOfam_ACC;KOfam;Pfam_ACC;Pfam
GC_00008354;shrub;tree;accessory;14;3.0290765888372;1.46634793821138;0.43686181316472;3.35654867059412;7.89218287485147e-4;0.0293783342202359;G;Carbohydrate transport and metabolism;;;COG1216;Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86);ko00001|ko01000|ko01003;KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00543 Exopolysaccharide biosynthesis [PATH:ko00543]|Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.->>>2.4.-.-|Glycosyltransferases>>>Polysaccharide>>>Bacterial polysaccharide (excluding LPS);;;;;K16870;N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289];PF00535.30;Glycosyl transferase family 2
GC_00003154;shrub;tree;accessory;56;3.22159955982827;1.44633703430798;0.427786717696222;3.3809769552851;7.22286002358134e-4;0.0284058353808756;E;Amino acid transport and metabolism;;;COG2008;Threonine aldolase (GLY1) (PDB:4LNJ);ko00001|ko01000;KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]|Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.2  Aldehyde-lyases>>>4.1.2.48  low-specificity L-threonine aldolase;;;;;K01620;threonine aldolase [EC:4.1.2.48];PF01212.25;Beta-eliminating lyase
GC_00002510;shrub;tree;accessory;80;3.20171069626482;1.42992637112154;0.416473518223737;3.43341487165905;5.96029334690747e-4;0.0248440730466005;;;;;;;ko00001|ko00001|ko00001|ko00001|ko01000;KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]|KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00620 Pyruvate metabolism [PATH:ko00620]|KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00680 Methane metabolism [PATH:ko00680]|KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]|Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.2  With a cytochrome as acceptor>>>1.1.2.7  methanol dehydrogenase (cytochrome c);M00174;"Pathway modules; Energy metabolism; Methane metabolism";M00174;Methane oxidation, methanotroph, methane => formaldehyde;K14029;methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7];PF02315.20;Methanol dehydrogenase beta subunit
GC_00000118;shrub;tree;accessory;88;4.59193077464032;1.41807605346501;0.366808556686072;3.86598411519241;1.10642139541111e-4;0.00875204469710992;G;Carbohydrate transport and metabolism;;;COG2814;Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS);;;;;;;;;PF07690.20;Major Facilitator Superfamily
GC_00003548;shrub;tree;accessory;47;3.2487318971095;1.37165860125193;0.428452131720656;3.20142788353829;0.00136748300844518;0.0416987356152293;P;Inorganic ion transport and metabolism;;;COG0715;ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component (TauA) (PDB:2X26);ko00001|ko02000;KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]|Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>D-Methionine transporter;;;;;K02051;NitT/TauT family transport system substrate-binding protein;PF13379.10;NMT1-like family
GC_00002930;shrub;tree;accessory;62;3.53616340215658;1.3468824198421;0.41915017450262;3.21336480759042;0.00131189542459216;0.040768321654402;R;General function prediction only;;;COG3865;Glyoxalase superfamily enzyme, possible 3-demethylubiquinone-9 3-methyltransferase (PDB:1TSJ);ko00001;KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown;;;;;K04750;PhnB protein;PF06983.17;3-demethylubiquinone-9 3-methyltransferase
GC_00002317;shrub;tree;accessory;77;3.37443774612343;1.27677560225544;0.410804582204326;3.10798773325367;0.00188365886310678;0.0491091735808475;G|M|F;Carbohydrate transport and metabolism|Cell wall/membrane/envelope biogenesis|Nucleotide transport and metabolism;;;COG0726|COG3195;Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)|2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70);ko00001|ko01000;KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]|Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.2  In cyclic amides>>>3.5.2.5  allantoinase;M00546;"Pathway modules; Nucleotide metabolism; Purine metabolism";M00546;Purine degradation, xanthine => urea;K16842;allantoinase [EC:3.5.2.5];PF01522.25;Polysaccharide deacetylase
GC_00002151;shrub;tree;core;93;4.55961318483387;1.24256838816899;0.358766202629527;3.46344883955557;5.33297998031348e-4;0.0242633161065112;J;Translation, ribosomal structure and biogenesis;COG0336;tRNA modification;COG0336;tRNA G37 N-methylase TrmD (TrmD) (PDB:1P9P);ko01000|ko03016;Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.228  tRNA (guanine37-N1)-methyltransferase|Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Methyltransferases;;;;;K00554;tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228];PF01746.25;tRNA (Guanine-1)-methyltransferase
GC_00003440;shrub;tree;accessory;49;4.55578478840467;1.15168510805075;0.333825203507252;3.44996452020656;5.60660234153503e-4;0.0244448348298069;E;Amino acid transport and metabolism;;;COG0665;Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI);ko00001|ko01000;KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]|Enzymes>>>1. Oxidoreductases>>>1.5  Acting on the CH-NH group of donors>>>1.5.3  With oxygen as acceptor>>>1.5.3.1  sarcosine oxidase (formaldehyde-forming);;;;;K00301;sarcosine oxidase [EC:1.5.3.1];PF01266.28;FAD dependent oxidoreductase
GC_00000442;shrub;tree;core;104;6.65082671260257;0.974115778806236;0.276260444826147;3.52607764538733;4.21763295921885e-4;0.0211215417475701;M;Cell wall/membrane/envelope biogenesis;;;COG5009;Membrane carboxypeptidase/penicillin-binding protein (MrcA) (PDB:3D0F);ko00001|ko01000|ko01000|ko01003|ko01011;KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00550 Peptidoglycan biosynthesis [PATH:ko00550]|Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.1  Hexosyltransferases>>>2.4.1.129  peptidoglycan glycosyltransferase|Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.16  Serine-type carboxypeptidases>>>3.4.16.4  serine-type D-Ala-D-Ala carboxypeptidase|Glycosyltransferases>>>Polysaccharide>>>Bacterial polysaccharide (excluding LPS)|Peptidoglycan biosynthesis and degradation proteins>>>Peptidoglycan biosynthesis and degradation>>>Glycosyltransferase/DD-Transpeptidase (Class A PBP);;;;;K05366;penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4];PF00912.26;Transglycosylase
