gene_cluster_id;focal;reference
GC_00000979;conifer;broadleaf
GC_00004463;conifer;broadleaf
GC_00006011;conifer;broadleaf
GC_00003306;conifer;broadleaf
GC_00005556;conifer;broadleaf
GC_00010413;conifer;broadleaf
GC_00004305;conifer;broadleaf
GC_00002716;conifer;broadleaf
GC_00004927;conifer;broadleaf
GC_00004876;conifer;broadleaf
GC_00003851;conifer;broadleaf
GC_00005601;conifer;broadleaf
GC_00003025;conifer;broadleaf
GC_00003869;conifer;broadleaf
GC_00000557;conifer;broadleaf
GC_00000219;conifer;broadleaf
GC_00005223;conifer;broadleaf
GC_00003691;conifer;broadleaf
GC_00003435;conifer;broadleaf
GC_00005237;conifer;broadleaf
GC_00004182;conifer;broadleaf
GC_00003806;conifer;broadleaf
GC_00011251;conifer;broadleaf
GC_00000387;conifer;broadleaf
GC_00000225;conifer;broadleaf
GC_00002478;conifer;broadleaf
GC_00000358;conifer;broadleaf
GC_00001316;conifer;broadleaf
GC_00004742;conifer;broadleaf
GC_00004030;conifer;broadleaf
GC_00003227;conifer;broadleaf
GC_00002691;conifer;broadleaf
GC_00004937;conifer;broadleaf
GC_00002434;conifer;broadleaf
GC_00003175;conifer;broadleaf
GC_00000105;conifer;broadleaf
GC_00002472;conifer;broadleaf
GC_00000403;conifer;broadleaf
GC_00000579;conifer;broadleaf
GC_00000423;conifer;broadleaf
GC_00003496;conifer;broadleaf
GC_00000292;conifer;broadleaf
GC_00000809;conifer;broadleaf
GC_00001735;conifer;broadleaf
GC_00001901;conifer;broadleaf
GC_00006371;conifer;broadleaf
GC_00000570;conifer;broadleaf
GC_00005695;conifer;broadleaf
GC_00000120;conifer;broadleaf
GC_00000429;conifer;broadleaf
GC_00000121;conifer;broadleaf
GC_00001237;conifer;broadleaf
GC_00000286;conifer;broadleaf
GC_00001102;conifer;broadleaf
GC_00000572;conifer;broadleaf
GC_00003886;conifer;broadleaf
GC_00001059;conifer;broadleaf
GC_00000235;conifer;broadleaf
GC_00000165;conifer;broadleaf
GC_00000636;conifer;broadleaf
GC_00018727;broadleaf;conifer
GC_00017598;broadleaf;conifer
GC_00068211;broadleaf;conifer
GC_00016286;broadleaf;conifer
GC_00013464;broadleaf;conifer
GC_00039580;broadleaf;conifer
GC_00006515;broadleaf;conifer
GC_00018351;broadleaf;conifer
GC_00011868;broadleaf;conifer
GC_00015665;broadleaf;conifer
GC_00002613;broadleaf;conifer
GC_00015946;broadleaf;conifer
GC_00044446;broadleaf;conifer
GC_00023961;broadleaf;conifer
GC_00010671;broadleaf;conifer
GC_00005888;broadleaf;conifer
GC_00023429;broadleaf;conifer
GC_00007446;broadleaf;conifer
GC_00005231;broadleaf;conifer
GC_00051657;broadleaf;conifer
GC_00007738;broadleaf;conifer
GC_00030761;broadleaf;conifer
GC_00007051;broadleaf;conifer
GC_00024193;broadleaf;conifer
GC_00044926;broadleaf;conifer
GC_00005067;broadleaf;conifer
GC_00008064;broadleaf;conifer
GC_00055483;broadleaf;conifer
GC_00030693;broadleaf;conifer
GC_00027281;broadleaf;conifer
GC_00027745;broadleaf;conifer
GC_00003594;broadleaf;conifer
GC_00006707;broadleaf;conifer
GC_00005957;broadleaf;conifer
GC_00026446;broadleaf;conifer
GC_00026663;broadleaf;conifer
GC_00005267;broadleaf;conifer
GC_00008995;broadleaf;conifer
GC_00026991;broadleaf;conifer
GC_00005003;broadleaf;conifer
GC_00014874;broadleaf;conifer
GC_00004531;broadleaf;conifer
GC_00004550;broadleaf;conifer
GC_00009718;broadleaf;conifer
