short.name;strain;group;species
st312;GEGL2-SR18=a;A;Meth_radiotolerans
st149;MB200;B;Meth_rhodesianum
st58;DSM5687;B;Meth_rhodesianum
st46;DB1607;B;Meth_rhodesianum
st54;DSM2163;B;Meth_rhodinum
st238;Combi-DKS6xPNS8-SR18_SR20_LR;B;Meth_salsuginis
st41;CGMCC1.6474;B;Meth_salsuginis
st302;LANS1-SR18;B;Meth_salsuginis
st289;PML2-SR20;B;Meth_salsuginis
st257;PML1-SR18;B;Meth_salsuginis
st259;DKS6-SR18_SR20;B;Meth_salsuginis
st280;DKS1-SR18;B;Meth_salsuginis
st272;KUML1-SR20;B;Meth_salsuginis
st270;APS3.1-SR18;B;Meth_salsuginis
st279;YGL1-SR18;B;Meth_salsuginis
st271;PM1-SR18;B;Meth_salsuginis
st285;PMS2-SR18=b;B;Meth_salsuginis
st260;DK6-SR18;B;Meth_salsuginis
st258;TAOS2-SR18;B;Meth_salsuginis
st311;TPS-SR18=a;B;Meth_salsuginis
st5;17J42-1;A;Meth_segetis
st209;YIM48816;A;Meth_soli
st33;BTF04;D;Meth_sp_001
st82;J-068;D;Meth_sp_002
st87;J-078;D;Meth_sp_003
st89;J-090;D;Meth_sp_004
st97;Leaf104;D;Meth_sp_005
st70;GV094;D;Meth_sp_006
st71;GV104;D;Meth_sp_006
st111;Leaf469;D;Meth_sp_007
st96;Leaf102;D;Meth_sp_007
st101;Leaf112;D;Meth_sp_007
st95;Leaf100;D;Meth_sp_007
st114;Leaf87;D;Meth_sp_007
st116;Leaf89;D;Meth_sp_008
st115;Leaf88;D;Meth_sp_008
st100;Leaf111;D;Meth_sp_008
st109;Leaf465;D;Meth_sp_008
st119;Leaf94;D;Meth_sp_008
st103;Leaf117;D;Meth_sp_009
st102;Leaf113;D;Meth_sp_009
st217;37f;D;Meth_sp_009
st105;Leaf125;D;Meth_sp_010
st191;V23;D;Meth_sp_010
st120;Leaf99;D;Meth_sp_011
st201;WL69;D;Meth_sp_011
st1;10;D;Meth_sp_012
st18;77;D;Meth_sp_013
st64;E-045;D;Meth_sp_014
st118;Leaf93;D;Meth_sp_015
st113;Leaf86;D;Meth_sp_016
st117;Leaf91;D;Meth_sp_016
st107;Leaf399;D;Meth_sp_017
st99;Leaf108;D;Meth_sp_017
st110;Leaf466;D;Meth_sp_017
st62;E-025;A;Meth_sp_018
st80;J-059;A;Meth_sp_018
st61;E-016;A;Meth_sp_018
st63;E-041;A;Meth_sp_018
st90;J-092;A;Meth_sp_018
st193;WL119;A;Meth_sp_018
st198;WL30;A;Meth_sp_018
st204;WL93;A;Meth_sp_018
st199;WL6;A;Meth_sp_018
st15;2A;A;Meth_sp_019
st60;E-005;A;Meth_sp_020
st229;GC_Met_3;A;Meth_sp_021
st66;E-065;A;Meth_sp_021
st231;GC_Met_1;A;Meth_sp_021
st76;J-026;A;Meth_sp_022
st77;J-030;A;Meth_sp_023
st79;J-048;A;Meth_sp_024
st83;J-070;A;Meth_sp_025
st86;J-077;A;Meth_sp_026
st88;J-088;A;Meth_sp_027
st230;GC_Met_2;A;Meth_sp_027
st28;BK227;A;Meth_sp_028
st106;Leaf361;A;Meth_sp_028
st13;275MFSha3.1;A;Meth_sp_028
st3;13MFTsu3.1M2;A;Meth_sp_028
st14;285MFTsu5.1;A;Meth_sp_028
st187;UNC300MFChir4.1;A;Meth_sp_028
st12;190mf;A;Meth_sp_028
st213;yr668;A;Meth_sp_028
st243;PN4-SR18;A;Meth_sp_028
st244;AMML1-SR18;A;Meth_sp_028
st245;AMKS1-SR18;A;Meth_sp_028
st262;AMKL1-SR18;A;Meth_sp_028
st241;KH9-SR18;A;Meth_sp_028
st234;CK2-SR18;A;Meth_sp_028
st263;AMK1E-SR18;A;Meth_sp_028
st242;CK1-SR18;A;Meth_sp_028
st67;E-066;A;Meth_sp_029
st84;J-072;A;Meth_sp_029
st75;J-001;A;Meth_sp_030
st73;GXS13;A;Meth_sp_030
st188;UNC378MF;A;Meth_sp_031
st169;P1-11;A;Meth_sp_031
st197;WL2;A;Meth_sp_032
st200;WL64;A;Meth_sp_032
st81;J-067;A;Meth_sp_033
st85;J-076;A;Meth_sp_034
st26;B4;B;Meth_sp_035
st219;SLI_516;B;Meth_sp_036
st220;SLI_575;B;Meth_sp_036
st221;SLI_576;B;Meth_sp_036
st78;J-043;B;Meth_sp_036
st104;Leaf123;B;Meth_sp_037
st108;Leaf456;B;Meth_sp_038
st177;R2-1;B;Meth_sp_039
st21;AMS5;B;Meth_sp_040
st176;Q1;B;Meth_sp_040
st168;P-1M;B;Meth_sp_041
st4;174MFSha1.1;C;Meth_sp_042
st8;17Sr1-1;C;Meth_sp_043
st16;4-46;C;Meth_sp_044
st45;DB0501;C;Meth_sp_045
st236;APS3.4-SR20_LR;A;Meth_sp_046
st268;PMS2-SR18=a;A;Meth_sp_046
st291;GR3.1-SR18;B;Meth_sp_047
st273;GR3.2-SR18;B;Meth_sp_047
st284;TPL2-SR18;B;Meth_sp_048
st277;PNS8-SR18;B;Meth_sp_048
st276;TPL1-SR18;B;Meth_sp_048
