
code	|	taxid	|	taxname	|	lineage
1	|	398041	|	Flavisolibacter	|	398041 563835 1853229 1853228 976 68336 1783270 2 131567 
1	|	2948911	|	Skogvirus	|	2948911 2731619 2731618 2731360 2731341 10239 
1	|	135858	|	Catenibacterium	|	135858 2810280 526525 526524 1239 1783272 2 131567 
1	|	1623273	|	Triavirus	|	1623273 2731619 2731618 2731360 2731341 10239 
1	|	2733178	|	Godonkavirus	|	2733178 2731619 2731618 2731360 2731341 10239 
1	|	63743	|	Natronomonas	|	63743 1963268 2235 183963 2290931 28890 3366610 2157 131567 
1	|	2172004	|	Lawsonibacter	|	2172004 216572 186802 186801 1239 1783272 2 131567 
1	|	685950	|	Fervidicoccus	|	685950 685949 685948 183924 28889 1783275 2157 131567 
1	|	109262	|	Halothiobacillus	|	109262 255526 135613 1236 1224 2 131567 
1	|	869806	|	Marivirga	|	869806 2762301 768507 768503 976 68336 1783270 2 131567 
1	|	667113	|	Actinoallomurus	|	667113 2012 85012 1760 201174 1783272 2 131567 
1	|	2785518	|	Radiobacillus	|	2785518 186817 1385 91061 1239 1783272 2 131567 
1	|	2834348	|	Caproicibacterium	|	2834348 216572 186802 186801 1239 1783272 2 131567 
1	|	2979332	|	Prescottella	|	2979332 85025 85007 1760 201174 1783272 2 131567 
1	|	2299	|	Desulfosarcina	|	2299 3031624 213118 3024418 200940 2 131567 
1	|	2733245	|	Alphanucleorhabdovirus	|	2733245 2842408 11270 11157 2497574 2497570 2497569 2732396 2559587 10239 
1	|	1910991	|	Jerseyvirus	|	1910991 1910976 2731619 2731618 2731360 2731341 10239 
1	|	3044833	|	Snuvirus	|	3044833 2731619 2731618 2731360 2731341 10239 
1	|	2560112	|	Cetovirus	|	2560112 2732012 2731690 2731619 2731618 2731360 2731341 10239 
1	|	258255	|	Pseudovibrio	|	258255 2821832 356 28211 1224 2 131567 
1	|	2169532	|	Agtrevirus	|	2169532 2169530 2169529 2731619 2731618 2731360 2731341 10239 
1	|	71	|	Simonsiella	|	71 481 206351 28216 1224 2 131567 
1	|	120652	|	Methylocella	|	120652 45404 356 28211 1224 2 131567 
1	|	2946804	|	Anthonyvirus	|	2946804 2731619 2731618 2731360 2731341 10239 
1	|	3118803	|	Fontisubflavum	|	3118803 31989 204455 28211 1224 2 131567 
1	|	379899	|	Niabella	|	379899 563835 1853229 1853228 976 68336 1783270 2 131567 
1	|	76634	|	Mycetocola	|	76634 85023 85006 1760 201174 1783272 2 131567 
1	|	2732963	|	Pahsextavirus	|	2732963 2842418 2731689 2731619 2731618 2731360 2731341 10239 
1	|	89404	|	Glaciecola	|	89404 72275 135622 1236 1224 2 131567 
1	|	117999	|	Denitrovibrio	|	117999 2945019 191393 68337 200930 2 131567 
1	|	323449	|	Pontibacter	|	323449 1853232 768507 768503 976 68336 1783270 2 131567 
1	|	2742	|	Marinobacter	|	2742 2887365 72274 1236 1224 2 131567 
1	|	3044745	|	Kirovvirus	|	3044745 3044639 2731619 2731618 2731360 2731341 10239 
1	|	2560231	|	Sourvirus	|	2560231 2731619 2731618 2731360 2731341 10239 
1	|	2433	|	Roseobacter	|	2433 2854170 204455 28211 1224 2 131567 
1	|	110456	|	Teseptimavirus	|	110456 2731653 2731643 2731619 2731618 2731360 2731341 10239 
1	|	1738655	|	Woeseia	|	1738655 1738654 3104269 1236 1224 2 131567 
1	|	2733124	|	Phapecoctavirus	|	2733124 2946646 2731619 2731618 2731360 2731341 10239 
1	|	338191	|	Nitrosopumilus	|	338191 338190 31932 1643678 651137 1783275 2157 131567 
1	|	104267	|	Tenacibaculum	|	104267 49546 200644 117743 976 68336 1783270 2 131567 
1	|	16	|	Methylophilus	|	16 32011 32003 28216 1224 2 131567 
1	|	39643	|	Sorangium	|	39643 49 3031712 3031711 2818505 2 131567 
1	|	1518149	|	Thalassotalea	|	1518149 267889 135622 1236 1224 2 131567 
1	|	2370	|	Xylella	|	2370 32033 135614 1236 1224 2 131567 
1	|	249585	|	Whispovirus	|	249585 196937 2840056 10239 
1	|	2995704	|	Peterkaempfera	|	2995704 2062 85011 1760 201174 1783272 2 131567 
1	|	1860196	|	Pseudobacter	|	1860196 563835 1853229 1853228 976 68336 1783270 2 131567 
1	|	2843466	|	Teubervirus	|	2843466 2731619 2731618 2731360 2731341 10239 
1	|	2901261	|	Denitrificimonas	|	2901261 135621 72274 1236 1224 2 131567 
1	|	35753	|	Dactylosporangium	|	35753 28056 85008 1760 201174 1783272 2 131567 
1	|	497	|	Psychrobacter	|	497 468 2887326 1236 1224 2 131567 
1	|	2948684	|	Drivevirus	|	2948684 2942972 2942964 1978007 2731619 2731618 2731360 2731341 10239 
1	|	2093823	|	Candidatus Nanosynbacter	|	2093823 2093822 2093819 2093818 95818 1783234 2323 2 131567 
1	|	221279	|	Candidatus Competibacter	|	221279 1400857 118884 1236 1224 2 131567 
1	|	2948898	|	Sedonavirus	|	2948898 2946160 2731619 2731618 2731360 2731341 10239 
1	|	2028344	|	Ereboglobus	|	2028344 134623 415000 414999 74201 1783257 2 131567 
1	|	489909	|	Nosocomiicoccus	|	489909 90964 1385 91061 1239 1783272 2 131567 
1	|	3046369	|	Aristaeella	|	3046369 3046368 186802 186801 1239 1783272 2 131567 
1	|	2270	|	Thermoproteus	|	2270 2267 2266 183924 28889 1783275 2157 131567 
1	|	2321111	|	Aliarcobacter	|	2321111 2808963 213849 3031852 29547 2 131567 
1	|	2842548	|	Betaricinrhavirus	|	2842548 11270 11157 2497574 2497570 2497569 2732396 2559587 10239 
1	|	1470540	|	Jeotgalibaca	|	1470540 186828 186826 91061 1239 1783272 2 131567 
1	|	2014233	|	Thaumasiovibrio	|	2014233 641 135623 1236 1224 2 131567 
1	|	1911929	|	Caeruleovirus	|	1911929 2560070 2560065 2731619 2731618 2731360 2731341 10239 
1	|	1882917	|	Pajaroellobacter	|	1882917 49 3031712 3031711 2818505 2 131567 
1	|	2560165	|	Lacusarxvirus	|	2560165 2731619 2731618 2731360 2731341 10239 
1	|	3044849	|	Tsamsavirus	|	3044849 3044646 2731619 2731618 2731360 2731341 10239 
1	|	145260	|	Methanothermobacter	|	145260 2159 2158 183925 2283794 28890 3366610 2157 131567 
