bins	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
M_iners	0.031203902230235805	0.03046124247831801	0.017527388876736678	0.03108670720934998	0.01948585598042188
M_isbiliense	0.03311426607112043	0.03366866398136305	0.02452891597493634	0.03153484164946933	0.02521370138851933
M_jeotgali	0.04375591996211224	0.04196333749524609	0.025814622665202822	0.04137851699567305	0.02781507652896476
M_komagatae	0.01785845070588913	0.018866357485597892	0.008826726358397912	0.014027459916804983	0.011087156312602306
M_longum	0.13842020162288368	0.10162994684055851	0.04329993451351089	0.25215738555771744	0.0394636014159208
M_marchantiae	0.023099996467559083	0.022128683571960916	0.012741709437013436	0.020446331495091532	0.013659060505078372
M_mesophilicum	0.1049383410901579	0.0992233965477014	0.03549139517780661	0.06498881843845639	0.04901501290075221
M_nodulans	0.021014768375958337	0.022537448147543927	0.017212085228433642	0.02166020177345412	0.016541988468860017
M_nonmethylotrophicum	0.024820938144682694	0.02620805141168112	0.018050860053640663	0.024212743309856816	0.0182365235618995
M_organophilum	0.04606424970673092	0.04410212104879364	0.022934038235946863	0.047037387844393014	0.026220038996861227
M_oryzihabitans	0.04156500906542229	0.04361948711599593	0.02990584213975875	0.03987381800103769	0.030902847136111525
M_oxalidis	0.03854936707525627	0.037178185946544075	0.021581879569704823	0.03818100198182019	0.02437841786473218
M_persicinum	0.023395847588471647	0.022584312483887387	0.011701433237768974	0.017466215915003934	0.014867710103270593
M_phyllostachyos	0.08987429190067707	0.1060068368554455	0.021633251017531704	0.049053988947050445	0.04591253333723466
M_planeticum	0.042943187755609145	0.0408498094685372	0.022345196377604598	0.04181174232045026	0.024982172245888553
M_platani	0.027169987001504865	0.02937261261209956	0.020271530448227406	0.02636060644457701	0.01918096667231406
M_podarium	0.03659395960808412	0.033981048707610005	0.018796770473069133	0.037544109026438344	0.02036670560216474
M_pseudosasicola	0.12337543097233318	0.12250022899000289	0.02190926678350635	0.0772894946398809	0.0641541605986142
M_radiodurans	0.03859941747695496	0.03759629365876641	0.023379084949622677	0.036201090493249176	0.024536188364160844
M_radiotolerans	0.056970536779381686	0.05774121589596339	0.021990372671257596	0.03948306375749915	0.03374797618823298
M_rhodesianum	0.026313573937296046	0.024637404172683675	0.014118293216181983	0.02580305039983488	0.014451756567240428
M_rhodinum	0.03881500258783949	0.03731871712713192	0.020997755479320035	0.03900626963770617	0.022857337348091603
M_salsuginis	0.0340222995984239	0.0323794797411535	0.01812286136166963	0.03368663539936808	0.020656778566629345
M_segetis	0.031236020170711063	0.03129368556742571	0.016986220119206193	0.032103508312592295	0.01871063038307374
M_soli	0.031079797447257845	0.02899244826940447	0.017196676666949955	0.028939200333326063	0.018643696850775666
M_sp_001	0.033200693489102456	0.031563872408901725	0.016100271830604973	0.028142931917816482	0.019479766424153035
M_sp_002	0.05195540057267426	0.04359865068852216	0.02134820059418537	0.038109393777442116	0.02402472363824996
M_sp_003	0.06406466915040532	0.06709088632449628	0.019719590382741344	0.033991409143618284	0.02285577922914576
M_sp_004	0.11360420215379494	0.12498317720987755	0.0202174101742642	0.03741647335389496	0.022083644903351577
M_sp_005	0.0816207565175611	0.03892068459728571	0.021763481931666277	0.03457970318443978	0.023517708631701162
M_sp_006	0.26777896176402477	0.04786988095461629	0.019704178167502237	0.03374967140469797	0.01994299653879615
M_sp_007	0.03774355941631895	0.027037421915800424	0.016730148026263308	0.03195418705746082	0.01587051717187618
M_sp_008	0.39108434562980016	0.06677160905490716	0.029270255485900305	0.036979305478248396	0.022032707022136198
M_sp_009	0.035689375678380625	0.025951142498696098	0.014098288248920465	0.030909441178819958	0.01526996612208267
M_sp_010	0.1767570230303457	0.05989199344463371	0.030959727339017192	0.139442199656973	0.031551368219971565
M_sp_011	0.04406670495534088	0.043051940280001	0.02758786518827609	0.040847614807900785	0.020978117764366217
M_sp_012	0.021140140134112882	0.021480941800789584	0.013141537059672404	0.01853776415641552	0.013049612935209549
M_sp_013	0.023065807466178145	0.022655299930953277	0.014022208564837789	0.021139530332219568	0.015852450515621043
M_sp_014	0.04128051314231942	0.040319197690543374	0.020885750416207733	0.03558232523362337	0.021508243041960674
M_sp_015	0.028223907743850807	0.029270587600762423	0.01213857889612777	0.025615003422567284	0.013400578159996646
M_sp_016	0.016487175426291696	0.016131775228700497	0.008934779821564591	0.014112498774482077	0.0098820109052241
M_sp_017	0.03900650658174917	0.03711520450699371	0.023114543033685327	0.03633279018326939	0.025547274922936566
M_sp_018	0.9435584837984454	0.947383842107846	0.4205862913006488	0.9249754500112257	0.6722037684120422
M_sp_019	0.09783142328731237	0.11258440761203192	0.02335018553057051	0.05131748210187173	0.05185706521526629
M_sp_020	0.10543729472572906	0.12130341913553751	0.024641730264078215	0.0741088690441318	0.05794548178401948
M_sp_021	0.9026904986701983	0.9072631725256436	0.15891867289185216	0.86781087938307	0.38994593652528925
M_sp_022	0.7990825397331034	0.8530188390188427	0.2984052900515314	0.4642003470237549	0.7083588324803332
M_sp_023	0.41978514669663447	0.5940031006113498	0.24283718929478973	0.3725786965141988	0.2760398002775399
M_sp_024	0.6584370797501945	0.49530533330673	0.06247195674295177	0.26425650950737245	0.7936504718769329
M_sp_025	0.2139463193607205	0.1828398335629727	0.07583283128723667	0.12451390537981602	0.13933282107733974
M_sp_026	0.5591070426121159	0.6478182912415754	0.06248980031972813	0.16527763434642426	0.7021437845791024
M_sp_027	0.7967194577421874	0.7607672444711229	0.11663767982979587	0.4012729177588114	0.18115969236197502
M_sp_028	0.053211958075426974	0.05306128050819222	0.01968853545200788	0.037191662157533396	0.029892852481113473
M_sp_029	0.5913411054234519	0.7137814514632334	0.10150464074499173	0.3312020315763336	0.22837383284091267
M_sp_030	0.4230479276144277	0.3012437441173502	0.0629554368017603	0.6627767686965483	0.31656579974533106
M_sp_031	0.04080311166054841	0.04455349306859683	0.01595905643580863	0.02795178373141324	0.02503499517145275
M_sp_032	0.07566293137714944	0.07464456393161584	0.01736534135399342	0.05455671997350682	0.0428250058236842
M_sp_033	0.055491191155880686	0.04382314015373074	0.018390061034731606	0.038006677117742145	0.02878873087053101
M_sp_034	0.21333624346705002	0.062487328846004234	0.02306983592747865	0.04859993569089934	0.06766539951932972
M_sp_035	0.030941673308919514	0.028237529694920986	0.015282745232853666	0.031495113039332875	0.016545017295235595
M_sp_036	0.02788457266665983	0.027911532443053166	0.01654494897197816	0.029491147510606393	0.014312223828417351
M_sp_037	0.02053197088603824	0.02155851425961065	0.011403973690182517	0.01949420946413406	0.012278245850333581
M_sp_038	0.034667493867714776	0.035219220231520666	0.01840994506046218	0.03592084690086497	0.020231162050119777
