bins	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
M_sp_002	0.0858801387937256	0.13290564966772606	0.15271529602399822	0.2762594937864116	0.12799558315798315
M_sp_003	0.08214938363236797	0.13523122179253827	0.13913630498810456	0.24712013951521727	0.11554193713467538
M_sp_004	0.08164428538778423	0.13754830828429837	0.14823167590028805	0.25017957581882194	0.11791860078981506
M_sp_005	0.08576648837228495	0.11854989562200169	0.1519164347994294	0.23604242430708045	0.12018093394103584
M_sp_006	0.0666393228433195	0.09900322179869939	0.10568915823272058	0.17963366318042698	0.09200981404635385
M_sp_007	0.0548544892365325	0.07957297129990183	0.08707969082220149	0.15644941186231015	0.08685377447294163
M_sp_008	0.06720575008101436	0.10037548303933082	0.10366380662363749	0.17303566669317197	0.09025718010918857
M_sp_009	0.06706887883358471	0.09494049045450914	0.10296518703335636	0.15205029531582584	0.09920976586177246
M_sp_010	0.0564028527874245	0.11899702749057703	0.09019442353711016	0.15733961140234662	0.07446403865142559
M_sp_011	0.08811317489169959	0.11080373495397179	0.1289930796235081	0.2205586931794209	0.12192589161090556
M_sp_012	0.04902305529296299	0.06054247275894805	0.06462105383582512	0.11011406218325817	0.06646896958676293
M_sp_013	0.06544154640653708	0.07808560721995937	0.08838645243675344	0.14479383196886916	0.08879717433622647
M_sp_014	0.058022241221371854	0.1481165960127057	0.10840444091449107	0.180290033057682	0.09043856716390024
M_sp_015	0.03099208943466436	0.08654554985139379	0.05763881412520592	0.09458905701266024	0.047896980408672865
M_sp_016	0.03354751615798246	0.04292423659660475	0.05309829784987594	0.0827910887878308	0.050377459520200306
M_sp_017	0.13055234816293065	0.16671775059584204	0.1996020389892293	0.3438752463135428	0.18209767815688585
M_sp_018	0.9389042768839678	9.770916203963266	4.095816228931184	5.431344785740569	0.9355872646719775
M_sp_019	0.10447126719921174	0.19928086865061212	0.2105647245584607	0.303289345579524	0.12407299230116557
M_sp_020	0.098760911594118	0.33286504595393723	0.20580378439969343	0.2799500167985643	0.1359180206150068
M_sp_021	0.22433756579691233	18.8178770273803	3.6370832082030717	4.336694962309685	0.2679945237956347
M_sp_022	2.2589353198229314	1.3670409205275535	4.064928942559473	4.021142767910992	5.184262980098925
M_sp_023	0.9240147326478085	0.7632084335694529	0.7441248290189898	0.8621306638668428	1.7344303462300685
M_sp_024	0.2562493266026856	2.595952672639119	8.820527624254275	14.648553243280992	0.8722593826692472
M_sp_025	1.144229144928987	0.9178571668264314	0.6060313502381619	1.0089819961676474	2.265035786759663
M_sp_026	0.6799447175428113	0.8846958940136679	4.063870645012191	3.9260891433424474	3.259418116700616
M_sp_027	0.2764594889383183	1.2460288871332534	0.3417932166874321	0.5365324474792605	0.433365124334443
M_sp_028	0.09153078187932888	0.16863769082540062	0.23820269111303125	0.3722229408932201	0.13160634259114606
M_sp_029	0.2761532360231507	1.6275961011801965	0.916544685950098	3.773359049667573	0.8890893381290387
M_sp_030	0.09829599446164343	1.1033943715516266	0.5559563935032008	1.4962966915929257	0.21283414821165833
M_sp_031	0.06445906115425871	0.11819355711369263	0.14037955212471806	0.2259588676978053	0.08678991258284811
M_sp_032	0.06640100143451572	0.21677610090750618	0.2539480273854265	0.3713432963375922	0.11132189579296416
M_sp_033	0.09772074891610476	0.16933409518743375	0.21962210083146533	0.3034745130125657	0.1252925042647676
M_sp_034	0.1245408203741042	0.37778089912400886	0.7528972629540872	0.5462255195221044	0.1748862614222429
